 job_id |                                                  tool_id                                                  |  state  | total_filesize | num_files | runtime_seconds |   slots    |     memory_bytes     |        create_time         
   8590 | toolshed.g2.bx.psu.edu/repos/watsocam/rename_tiff_channels/rename_tiff_channels/0.0.1.2                   | deleted |          61880 |         2 |                 |            |                      | 2022-06-17 23:05:58.907218
   8625 | __DATA_FETCH__                                                                                            | ok      |                |           |       6.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 19:01:38.147541
   8597 | s3segmenter                                                                                               | deleted |          67395 |         2 |                 |            |                      | 2022-06-20 14:13:17.366783
   8598 | quantification                                                                                            | deleted |          98735 |         3 |                 |            |                      | 2022-06-20 14:13:17.49155
   6730 | gate_finder                                                                                               | ok      |        4283375 |         3 |    1075.0000000 |  1.0000000 |    614637568.0000000 | 2022-06-14 18:16:38.909607
   8566 | quantification                                                                                            | ok      |      225592251 |         3 |     189.0000000 |  8.0000000 |   1858670592.0000000 | 2022-06-16 15:44:12.322229
   8569 | ludwig_visualize                                                                                          | ok      |          64630 |         2 |      25.0000000 |  1.0000000 |    536903680.0000000 | 2022-06-16 22:03:36.573751
   8578 | __DATA_FETCH__                                                                                            | ok      |                |           |       5.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-17 22:42:07.75548
   8580 | __DATA_FETCH__                                                                                            | ok      |                |           |      25.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-17 22:47:34.124238
   8584 | __DATA_FETCH__                                                                                            | ok      |                |           |      30.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-17 22:57:31.823502
   8608 | __DATA_FETCH__                                                                                            | ok      |                |           |       7.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 18:45:43.369065
   8615 | __DATA_FETCH__                                                                                            | ok      |                |           |       7.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 18:46:10.474972
   6776 | gate_finder                                                                                               | ok      |        9059597 |         3 |    1235.0000000 |  1.0000000 |    658608128.0000000 | 2022-06-14 18:16:38.909825
   9366 | scimap_mcmicro_to_anndata                                                                                 | ok      |          37214 |         1 |      68.0000000 |  4.0000000 |    490000384.0000000 | 2022-06-24 21:34:15.705905
   9372 | scimap_mcmicro_to_anndata                                                                                 | ok      |          29768 |         1 |      71.0000000 |  4.0000000 |    490004480.0000000 | 2022-06-24 21:34:15.70593
   9387 | scimap_mcmicro_to_anndata                                                                                 | ok      |          31864 |         1 |      54.0000000 |  4.0000000 |    490164224.0000000 | 2022-06-24 21:34:15.705992
   9805 | quantification                                                                                            | error   |         100275 |         3 |      37.0000000 |  8.0000000 |    520888320.0000000 | 2022-06-29 05:17:21.245336
   6714 | gate_finder                                                                                               | ok      |       11831861 |         3 |    1133.0000000 |  1.0000000 |    661090304.0000000 | 2022-06-14 18:16:38.909537
   9326 | scimap_mcmicro_to_anndata                                                                                 | ok      |          34779 |         1 |      44.0000000 |  4.0000000 |    491134976.0000000 | 2022-06-24 21:34:15.705693
   9357 | scimap_mcmicro_to_anndata                                                                                 | ok      |          30277 |         1 |      61.0000000 |  4.0000000 |    489771008.0000000 | 2022-06-24 21:34:15.705867
   9370 | scimap_mcmicro_to_anndata                                                                                 | ok      |          28597 |         1 |      73.0000000 |  4.0000000 |    489844736.0000000 | 2022-06-24 21:34:15.705922
   9378 | scimap_mcmicro_to_anndata                                                                                 | ok      |          30668 |         1 |      70.0000000 |  4.0000000 |    490995712.0000000 | 2022-06-24 21:34:15.705955
